LocalCurrencyAmount,ExchangeRate,Nights,Adults,Minors,FreeMinors,cluster,GraphDate,Profile
920.0,19.01,1,1,0,0,0,2019-07,A
2570.4,19.66,4,1,0,0,0,2019-07,A
2259.6,1.0,2,3,1,1,2,2019-07,C
2229.66,20.31,2,2,0,2,2,2019-08,C
2710.92,1.0,2,2,0,0,1,2019-08,B
925.0,19.3,1,2,0,0,1,2019-08,B
514.08,20.53,1,1,0,0,0,2019-08,A
3040.66,19.56,2,4,0,0,1,2019-08,B
2062.36,21.31,1,3,0,0,1,2019-08,B
720.0,19.0,1,1,0,0,0,2019-08,A
2213.6,19.08,1,1,0,0,0,2019-08,A
1140.02,19.2109,1,2,0,2,2,2019-08,C
940.0,1.0,1,3,0,0,1,2019-08,B
2399.79,19.5,3,2,0,0,1,2019-08,B
1074.0,21.59,1,1,0,0,0,2019-08,A
4268.97,1.0,3,2,0,0,1,2019-08,B
631.89,22.34,1,2,0,0,1,2019-08,B
5558.48,19.42,3,2,0,0,1,2019-08,B
1106.8,19.06,1,2,0,0,1,2019-08,B
1117.0,19.3,1,1,0,0,0,2019-08,A
1063.81,19.43,1,1,0,0,0,2019-08,A
1361.36,19.45,2,2,0,0,1,2019-08,B
1085.0,18.77,1,1,0,0,0,2019-08,A
3303.03,19.3,3,1,0,0,0,2019-08,A
1276.0,19.0,1,2,0,0,1,2019-08,B
4081.08,19.2109,1,1,0,2,2,2019-08,C
775.0,1.0,1,1,0,0,0,2019-08,A
4047.56,19.2109,2,4,0,0,1,2019-08,B
1844.5,19.12,1,2,0,0,1,2019-08,B
1092.15,19.27,1,1,0,0,0,2019-08,A
902.13,19.5669,1,2,0,0,1,2019-08,B
707.76,17.0,1,1,0,0,0,2019-08,A
3920.0,20.86,4,1,0,0,0,2019-08,A
990.35,22.73,1,2,0,0,1,2019-08,B
2022.75,19.18,1,3,0,0,1,2019-08,B
707.29,19.5623,1,2,0,0,1,2019-08,B
730.1,17.0,1,1,0,0,0,2019-08,A
3498.32,19.28,3,1,0,0,0,2019-08,A
2241.72,19.2109,1,3,0,0,1,2019-08,B
1114.83,19.7,1,2,0,0,1,2019-08,B
2391.88,18.9,2,2,0,0,1,2019-08,B
