LocalCurrencyAmount,ExchangeRate,Nights,Adults,Minors,FreeMinors,cluster
7802.12,19.83,11,1,0,0,2
1896.32,19.15,2,1,0,0,0
1904.88,1.0,1,1,0,1,2
2443.14,1.0,2,2,0,0,1
1332.2,19.2,1,1,0,0,0
601.84,19.0,1,2,0,0,1
2595.91,19.18,2,3,0,0,1
1103.73,19.7,1,2,0,0,1
1180.0,19.0,2,2,0,0,1
1500.0,19.2109,1,1,0,0,0
1095.0,18.63,1,1,0,0,0
1504.96,21.31,1,2,0,0,1
950.0,19.01,1,2,0,0,1
1457.55,1.0,3,1,0,0,0
1217.51,21.31,1,1,0,0,0
2886.5,19.92,1,1,0,0,0
1743.1,1.0,1,2,0,2,2
818.0,20.0,1,2,0,0,1
1425.02,19.2109,1,1,0,0,0
1432.48,19.43,2,2,0,1,2
2040.78,1.0,1,3,1,0,2
1784.94,21.31,1,2,1,0,2
1103.73,19.85,1,2,0,0,1
2288.68,19.2109,1,2,0,0,1
7223.76,21.31,3,2,0,0,1
790.0,19.0,1,1,0,0,0
1360.0,18.0,1,2,0,0,1
2323.42,19.2109,2,3,0,0,1
5806.52,16.0,4,2,0,0,1
779.26,19.3247,1,2,0,0,1
3366.29,1.0,2,2,0,0,1
867.13,19.2109,1,2,0,2,2
2492.67,16.0,2,2,2,0,2
750.0,18.793,1,1,0,0,0
3034.8,22.65,3,1,0,0,0
2760.0,19.35,3,1,0,0,0
1062.0,18.95,1,2,1,0,2
1580.0,19.44,1,2,0,0,1
3573.57,19.85,3,2,0,0,1
1074.0,21.59,1,1,0,0,0
2250.0,19.17,1,1,0,0,0
1159.28,19.3,1,2,0,0,1
11700.0,19.38,6,1,0,0,1
3772.8,20.0,2,2,0,0,1
1047.0,21.85,1,1,0,0,0
4266.0,16.0,3,2,0,0,1
2065.5,21.98,3,1,2,2,2
2102.92,19.45,1,2,0,0,1
3046.5,19.33,2,2,0,0,1
728.71,22.97,1,3,0,0,1
1213.11,19.2109,1,2,0,0,1
2475.0,18.9,3,1,0,0,0
2034.9,19.32,1,2,0,0,1
4649.94,1.0,2,4,0,0,1
2820.0,19.0,1,2,0,0,1
4164.9,19.2109,2,2,0,0,1
940.0,1.0,1,2,0,0,1
878.43,19.2063,1,2,0,0,1
2543.94,21.31,2,2,0,0,1
1250.0,19.6,1,1,0,0,0
1323.84,18.96,1,4,0,0,1
4870.04,16.0,4,1,0,0,0
1088.85,1.0,1,2,0,0,1
816.0,21.96,1,2,0,0,1
1329.85,19.2109,1,2,0,0,1
2750.0,1.0,2,2,0,0,1
2483.76,21.31,2,2,0,2,2
1589.0,19.13,0,2,0,0,1
1244.5,19.861,1,3,0,0,1
1161.2,1.0,1,1,0,0,0
3343.98,19.51,4,1,0,0,0
6370.0,24.39,7,1,0,0,0
1650.58,16.0,1,2,0,0,1
950.58,19.2109,2,2,0,0,1
2604.0,21.38,1,2,0,0,1
3400.0,19.0,2,2,0,0,1
2894.56,20.31,3,2,1,1,2
830.0,19.0,1,4,0,0,1
940.0,1.0,1,2,0,0,1
3374.28,1.0,2,2,0,0,1
1059.0,1.0,1,1,0,0,0
1514.98,19.2109,1,2,0,0,1
2059.7,19.2109,2,1,0,0,0
476.0,19.0,1,2,0,0,1
1219.75,19.33,1,1,0,0,0
1950.0,18.95,1,1,0,0,0
1595.75,1.0,1,2,0,0,1
1375.79,21.79,2,1,0,0,0
1587.12,19.2109,2,2,0,0,1
1600.0,22.4485,2,1,0,0,0
1884.1,23.1325,1,2,0,0,1
3190.0,18.74,2,3,0,0,1
1592.47,19.2109,1,2,0,0,1
640.99,22.84,1,2,0,0,1
1485.72,21.98,2,2,0,2,2
3557.9,24.39,2,2,0,0,1
2370.18,19.66,2,2,0,0,1
1027.17,19.861,1,2,0,0,1
1036.27,21.31,1,2,0,0,1
1027.17,19.8695,1,2,0,0,1
